Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,468152,444950,-0.964355,53.89625,12,2,1,1,06/05/2012,1,14:12:00,189,E06000014,5,303,6,30,3,4,5,302,0,0,1,1,1,0,0,2,1,E01013452
2.01E+12,464819,451674,-1.013644,53.957103,12,3,2,1,06/05/2012,1,15:40:00,189,E06000014,3,1079,1,60,1,2,3,64,0,0,1,1,1,0,0,2,1,E01013351
2.01E+12,461091,451551,-1.070475,53.95645,12,3,1,1,07/05/2012,2,06:38:00,189,E06000014,3,1036,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013367
2.01E+12,461814,449846,-1.059803,53.941042,12,3,2,2,10/05/2012,5,15:40:00,189,E06000014,5,293,6,40,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01013365
2.01E+12,455947,453363,-1.148527,53.973316,12,3,2,1,11/05/2012,6,11:15:00,189,E06000014,3,59,6,40,3,4,6,2410,0,0,1,2,2,0,0,2,1,E01013426
2.01E+12,460965,451118,-1.072481,53.952574,12,3,4,3,11/05/2012,6,11:17:00,189,E06000014,3,19,6,30,6,2,6,0,0,8,1,2,2,0,0,1,1,E01013364
2.01E+12,457627,447839,-1.123958,53.923488,12,3,3,2,11/05/2012,6,16:31:00,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013425
2.01E+12,458647,450989,-1.107824,53.951682,12,3,2,1,13/05/2012,1,16:25:00,189,E06000014,6,5710,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013397
2.01E+12,460979,451941,-1.072104,53.959968,12,3,2,1,14/05/2012,2,10:00:00,189,E06000014,3,1036,6,30,9,4,6,0,0,4,1,1,1,0,0,1,1,E01013383
2.01E+12,456181,448054,-1.145935,53.925579,12,3,1,1,15/05/2012,3,19:51:00,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013421
2.01E+12,457051,451477,-1.13205,53.956246,12,3,2,1,17/05/2012,5,08:53:00,189,E06000014,6,2710,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01013336
2.01E+12,457754,450883,-1.12145,53.95083,12,3,2,1,14/05/2012,2,07:15:00,189,E06000014,6,5711,6,30,1,4,6,0,0,0,1,1,1,0,0,1,2,E01013443
2.01E+12,460630,452236,-1.077364,53.962661,12,3,2,1,17/05/2012,5,16:00:00,189,E06000014,3,1036,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013369
2.01E+12,457972,449106,-1.118465,53.934836,12,3,2,1,14/04/2012,7,18:15:00,189,E06000014,6,5611,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013353
2.01E+12,461155,455024,-1.068804,53.987654,12,3,2,2,23/05/2012,4,19:50:00,189,E06000014,5,90,1,30,1,4,6,3510,0,0,1,1,1,0,0,1,2,E01013407
2.01E+12,459153,450661,-1.100178,53.948677,12,3,2,1,29/05/2012,3,09:45:00,189,E06000014,3,1036,6,30,3,4,6,5710,0,0,1,1,1,0,0,1,1,E01013417
2.01E+12,456944,451471,-1.133681,53.956204,12,3,1,1,29/05/2012,3,10:00:00,189,E06000014,4,1224,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013442
2.01E+12,459507,451274,-1.094666,53.954145,12,3,2,1,28/05/2012,2,15:00:00,189,E06000014,3,59,6,30,3,4,6,2910,0,0,1,1,1,0,0,1,1,E01013417
2.01E+12,459692,451741,-1.091756,53.958321,12,2,1,1,30/05/2012,4,16:27:00,189,E06000014,3,1036,6,30,9,4,3,1036,0,4,1,1,1,0,0,1,1,E01013415
2.01E+12,460466,452068,-1.079896,53.96117,12,3,1,1,30/05/2012,4,16:15:00,189,E06000014,6,7210,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013366
2.01E+12,457742,450959,-1.121618,53.951514,12,3,2,1,30/05/2012,4,14:05:00,189,E06000014,6,5710,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013441
